academicyear,athleticstatus,countryoforigin,countryofresidence,disability,dob,gender,major,primarylanguage,university,dropout,study_hours,gpa
5,1,3,0,10,4801,1,2,0,4325,0.0,8.7,3.35
0,1,4,0,9,5526,1,0,3,1109,0.0,7.6,3.37
3,0,6,3,12,3710,1,2,3,6933,0.0,7.0,2.78
5,0,0,5,8,7551,1,3,1,5203,0.0,7.5,3.05
3,1,7,7,7,6700,1,3,0,2461,0.0,7.8,2.96
5,0,4,1,5,2220,0,0,1,6375,0.0,9.0,3.15
5,1,1,1,18,2141,1,2,1,491,0.0,7.3,3.29
0,1,7,1,15,786,0,3,0,5819,0.0,7.3,3.05
4,0,6,3,5,6951,1,2,0,6363,0.0,6.6,2.63
2,0,7,0,18,5469,1,0,2,6365,0.0,7.0,3.16
4,1,2,2,20,4506,0,2,1,1096,0.0,8.3,3.09
3,0,6,6,17,4230,1,2,4,1590,0.0,6.0,2.54
1,0,2,1,11,173,0,0,1,4187,0.0,7.2,3.21
5,1,2,6,13,4489,1,3,2,5448,0.0,6.1,2.08
5,1,1,6,18,3340,1,0,0,4233,0.0,6.6,2.57
5,0,4,0,4,284,1,0,1,612,0.0,6.9,2.87
3,1,5,0,7,4725,1,3,2,1940,0.0,7.6,2.57
0,0,1,4,9,5100,0,2,2,5368,0.0,7.6,2.73
0,0,0,3,20,4855,0,1,0,5427,1.0,7.8,2.16
2,1,7,1,6,544,1,0,2,2427,0.0,6.0,2.37
0,0,2,3,6,1007,1,2,2,1237,0.0,8.1,3.11
4,1,4,5,11,7389,0,2,4,5197,0.0,6.3,2.93
3,1,5,0,19,2705,0,3,3,6152,0.0,7.3,2.97
3,0,6,5,6,3542,0,2,4,4990,0.0,7.2,2.46
2,1,2,7,17,4737,1,0,0,6020,0.0,7.6,2.65
2,0,0,0,3,1564,1,3,1,1039,1.0,6.8,2.25
0,1,6,1,1,5115,1,1,2,4536,0.0,6.3,2.23
4,1,7,4,5,6766,0,3,3,5322,0.0,7.5,3.05
0,1,6,4,12,875,1,0,2,3369,0.0,6.8,2.5
2,1,7,2,14,4758,0,2,0,995,1.0,6.1,2.28
1,1,4,5,0,767,1,0,3,5257,0.0,6.2,2.59
3,1,2,3,10,2667,1,0,4,4239,0.0,8.1,3.29
3,1,5,5,0,1275,0,3,1,1768,0.0,6.9,2.53
4,0,7,5,20,2106,1,3,0,3275,0.0,8.4,3.36
2,0,7,6,18,1160,0,1,0,1891,0.0,7.4,3.16
1,0,7,7,14,186,1,3,2,2160,0.0,8.6,3.25
2,1,6,4,4,6245,0,3,2,4485,0.0,8.1,3.08
1,1,3,0,12,2447,1,2,4,2899,0.0,6.2,3.28
0,1,2,2,10,6987,0,2,2,6444,1.0,5.8,2.0
4,1,5,0,8,3107,0,0,4,6489,0.0,6.6,2.79
2,0,0,3,13,4855,1,3,1,5124,0.0,6.0,2.46
1,1,6,1,3,2038,0,1,1,5023,0.0,6.8,2.21
0,1,3,3,19,5059,1,0,4,2506,0.0,7.8,3.2
1,0,0,7,17,836,1,2,4,2498,0.0,8.2,3.07
2,0,3,2,0,4226,1,2,4,6516,0.0,6.5,2.3
3,0,1,4,11,3979,1,0,0,5209,0.0,7.7,3.38
0,0,7,5,19,928,1,3,3,4815,1.0,7.0,2.23
0,1,1,6,10,6283,1,3,0,6523,0.0,7.4,2.56
5,1,2,3,18,6771,1,2,4,2458,0.0,7.6,2.57
5,1,6,3,7,5922,1,3,0,6476,0.0,6.2,2.56
0,0,1,6,4,960,1,0,4,5993,0.0,6.4,2.56
1,0,0,7,3,2386,0,0,1,5010,0.0,6.5,2.74
3,1,2,4,10,6060,1,1,0,738,0.0,5.8,2.16
2,1,7,1,13,5259,0,3,2,5607,0.0,6.4,2.62
1,0,2,1,7,1720,0,2,0,5670,0.0,8.2,3.28
5,0,3,3,3,5296,0,0,4,5049,0.0,8.4,3.1
3,0,4,4,16,157,0,0,3,4159,0.0,8.3,3.18
5,0,3,1,4,7463,0,0,1,1959,0.0,7.1,2.9
4,1,5,1,14,2694,1,1,2,4908,1.0,8.2,2.24
0,0,6,4,7,2636,1,0,4,609,0.0,6.5,2.31
2,1,2,1,16,7254,1,0,1,130,0.0,7.0,2.64
4,0,6,5,19,6232,1,1,0,5527,0.0,6.4,2.42
4,1,4,3,12,5015,1,2,2,845,0.0,6.0,3.29
2,1,6,5,0,37,1,2,1,6051,0.0,7.4,2.82
4,1,7,6,18,582,0,2,1,805,1.0,6.9,2.29
2,1,7,2,17,5522,1,0,4,4186,0.0,6.5,2.78
2,1,2,3,9,4780,0,1,4,5334,0.0,6.6,2.53
1,1,1,6,19,5242,0,1,0,3600,0.0,8.2,3.04
4,0,0,4,7,3503,1,0,1,130,0.0,6.1,2.45
3,0,3,2,17,2924,0,2,0,6345,1.0,6.5,2.14
3,0,2,2,15,5161,1,2,4,241,0.0,7.6,3.34
1,0,1,6,7,1847,0,0,4,6241,0.0,6.3,2.74
4,1,0,6,5,5793,0,3,1,4999,0.0,6.8,2.6
3,1,4,0,16,5885,0,1,3,3,0.0,6.3,3.19
3,0,7,3,10,5954,0,0,4,5791,0.0,7.1,3.23
3,0,3,3,14,5496,1,1,4,1911,0.0,8.0,3.27
2,1,2,4,5,4922,1,0,0,253,0.0,8.5,3.28
3,0,7,4,19,888,1,2,0,6465,0.0,8.2,3.4
1,1,2,5,9,3289,1,2,0,4335,1.0,5.7,2.01
1,0,5,2,4,1953,1,0,2,3675,0.0,6.4,2.65
3,1,7,3,11,7507,0,2,3,6637,0.0,5.7,2.27
1,0,3,3,11,6103,1,1,0,392,1.0,7.4,2.22
2,0,2,0,15,2120,1,3,0,6851,0.0,6.2,2.33
2,1,1,0,1,5078,0,3,3,3139,1.0,6.9,2.12
5,0,2,0,12,5678,1,2,3,4155,0.0,7.1,3.01
5,0,5,7,19,5358,0,2,0,1154,0.0,7.2,2.61
2,1,4,1,19,5500,1,3,3,5574,1.0,6.3,2.08
5,1,5,7,14,2214,1,0,0,5976,0.0,5.7,2.65
1,1,0,7,6,412,0,3,1,4915,0.0,7.7,3.27
1,0,4,6,8,5449,0,0,3,4229,0.0,7.1,3.14
5,0,0,2,11,1889,0,0,1,6532,0.0,6.9,2.78
1,0,2,6,2,3489,1,0,3,1780,0.0,6.9,2.69
4,1,1,4,20,2971,0,2,4,425,0.0,7.2,2.96
1,1,4,3,6,2611,1,0,4,6199,0.0,6.4,2.78
0,1,2,6,5,1142,1,2,2,263,0.0,6.6,2.93
2,1,2,1,0,3993,1,2,0,3103,0.0,5.9,2.34
2,0,4,4,10,1303,0,0,3,3614,0.0,8.0,2.55
3,0,1,2,15,1767,1,2,0,5868,0.0,5.7,2.32
3,0,7,7,5,2238,1,2,0,1256,0.0,6.7,2.4
5,1,5,0,17,890,1,0,1,682,0.0,7.9,2.99
5,1,5,6,1,4428,0,3,4,3389,0.0,5.7,2.63
3,0,4,4,14,4157,1,0,2,4727,1.0,6.8,2.28
1,0,1,3,14,7244,0,3,1,1102,0.0,6.3,2.54
0,1,3,5,11,4962,1,1,3,6333,0.0,6.9,2.82
1,1,3,6,19,3682,1,0,2,6517,0.0,7.4,2.55
5,1,6,6,8,7517,1,3,2,1948,0.0,7.0,2.35
5,0,0,7,5,1672,1,3,4,2277,0.0,7.6,2.57
0,0,7,2,12,7108,0,2,3,922,0.0,7.5,2.68
0,0,2,7,6,2820,1,2,4,1146,0.0,6.4,2.46
2,0,1,7,5,2907,1,3,4,1758,0.0,7.1,2.51
0,0,0,5,8,7367,1,1,3,5052,0.0,6.2,2.13
4,0,4,7,16,5378,0,1,4,1540,0.0,7.1,2.73
2,0,0,5,16,5772,0,2,3,2070,0.0,8.3,3.04
5,0,4,5,14,1895,1,2,3,878,1.0,6.8,2.19
0,1,1,5,11,1045,0,3,4,4761,1.0,6.5,2.01
3,1,0,1,2,5672,1,1,4,2836,0.0,6.3,2.36
1,0,1,3,7,7057,1,3,4,3710,0.0,7.2,2.93
4,0,6,5,4,2559,1,1,0,1231,0.0,7.1,3.11
1,0,7,1,17,2845,0,3,0,1916,0.0,5.8,2.39
3,1,5,4,20,3973,1,2,1,379,0.0,7.2,2.69
3,0,3,5,20,3476,1,1,1,4795,0.0,6.3,3.22
0,0,3,4,0,1226,1,1,0,5483,0.0,7.8,3.0
1,1,0,7,16,2062,0,3,4,2605,0.0,6.3,2.5
5,0,3,3,17,3929,1,0,2,668,0.0,6.5,2.1
4,1,6,0,0,6883,0,0,1,587,0.0,8.7,3.37
0,0,6,2,5,2070,1,0,2,255,0.0,6.8,2.7
5,0,3,0,5,2384,1,0,2,1935,0.0,8.1,2.34
4,0,7,1,10,5183,0,0,3,1325,1.0,6.6,2.25
1,1,5,7,16,3998,1,2,2,6409,0.0,7.2,2.76
2,0,0,7,3,1957,0,1,2,2162,0.0,7.7,3.07
0,1,5,3,18,5068,1,3,0,915,0.0,6.9,3.04
4,1,0,0,18,1484,0,1,0,4406,0.0,5.7,2.27
1,1,5,7,12,67,0,2,2,1052,0.0,7.3,2.81
3,1,5,4,5,6824,1,0,1,5068,1.0,6.3,2.26
4,1,3,6,5,846,1,2,0,3967,0.0,6.5,2.76
2,0,3,5,12,3343,1,3,2,4372,0.0,8.3,3.07
5,0,4,4,3,3869,1,1,1,2380,0.0,7.5,3.02
4,0,2,6,15,7426,0,3,4,1880,0.0,7.3,3.02
0,1,6,3,12,3910,1,0,0,2196,0.0,7.4,2.82
1,1,0,1,9,2833,0,2,3,3597,0.0,5.9,2.78
5,0,5,6,15,401,0,0,0,512,0.0,6.6,2.75
2,0,3,4,18,756,0,0,0,5398,0.0,7.4,3.36
3,0,2,1,0,360,1,0,2,1157,0.0,6.4,2.7
2,0,3,5,3,7298,0,0,3,6421,0.0,8.8,2.58
3,0,4,6,11,3015,0,3,0,6649,0.0,8.3,3.37
0,1,7,6,20,536,0,0,2,887,0.0,7.3,3.0
0,1,1,1,2,5856,1,3,2,1534,0.0,7.2,3.23
3,0,0,7,10,480,1,0,4,4565,0.0,6.4,3.14
0,1,1,6,0,792,1,3,4,1958,0.0,5.9,2.57
1,1,6,4,12,461,1,1,2,5418,1.0,5.6,2.14
3,1,3,6,13,2519,0,3,0,3419,0.0,7.9,3.17
1,0,3,7,13,2036,0,0,0,4082,0.0,6.8,2.12
2,1,0,5,6,4048,0,3,3,3205,0.0,5.1,2.43
1,0,6,5,2,3360,1,2,1,969,0.0,4.7,2.24
1,1,1,3,9,1829,0,0,2,5639,0.0,7.6,2.61
2,0,1,1,11,3576,1,1,3,3068,0.0,7.0,2.73
1,1,3,0,0,65,1,3,3,345,0.0,5.4,2.41
4,1,1,7,8,2974,1,3,0,4373,0.0,7.5,2.79
2,0,2,7,7,1910,0,3,1,1042,0.0,7.0,2.19
4,0,2,4,7,4764,0,0,1,3783,0.0,6.2,2.05
3,0,5,6,5,7307,0,1,1,6248,0.0,7.6,2.66
0,0,1,5,14,1340,1,0,2,410,1.0,6.6,2.02
5,1,7,3,17,5716,0,0,4,1491,0.0,7.1,2.68
3,1,3,4,4,1469,1,2,0,6336,0.0,6.5,2.59
1,0,0,1,3,1406,0,1,4,4285,0.0,8.5,3.11
4,1,7,2,7,3774,1,3,1,3082,0.0,8.2,2.46
5,0,0,0,5,1293,1,0,2,2970,0.0,7.0,2.82
0,0,5,6,1,4516,1,3,2,6226,1.0,7.2,2.15
1,1,3,2,8,2888,0,3,3,6693,0.0,6.3,2.49
2,0,7,3,7,1409,1,2,3,5930,0.0,7.6,2.61
1,0,7,3,20,3657,0,2,0,5982,0.0,7.3,2.4
2,0,1,7,14,6045,1,1,0,6912,1.0,6.8,2.21
0,1,5,6,14,6604,1,2,2,4438,0.0,7.2,2.9
1,0,0,2,5,627,1,0,0,2789,0.0,8.5,3.36
0,1,4,3,20,1808,0,1,1,4487,0.0,7.5,2.61
3,0,1,6,8,3426,0,0,1,321,0.0,7.0,2.61
5,0,1,1,14,821,0,1,4,4118,0.0,7.8,2.91
4,0,3,3,20,744,0,1,1,2801,0.0,7.6,3.35
5,0,1,6,0,5648,1,0,4,6885,0.0,8.3,3.23
4,1,4,3,13,683,1,1,3,3819,0.0,7.8,3.3
2,0,4,0,6,5411,1,0,1,6610,0.0,7.7,3.37
3,1,5,6,2,1912,1,2,2,6059,1.0,6.8,2.12
5,0,1,7,9,6548,1,0,2,4810,0.0,7.1,2.83
1,1,3,3,16,6213,1,0,2,3189,0.0,7.0,2.21
3,1,1,2,9,3937,0,0,3,914,0.0,7.3,3.12
2,0,7,0,6,2095,0,2,2,5768,0.0,7.4,2.73
4,0,7,6,4,2778,0,2,4,25,0.0,6.1,2.12
5,0,4,6,11,5487,1,0,4,5741,0.0,7.8,3.25
3,0,7,1,12,6349,1,2,0,4662,0.0,7.5,2.51
1,1,0,6,0,5204,0,0,1,3197,0.0,8.5,2.95
5,0,7,6,1,1015,0,0,1,2917,0.0,6.8,2.88
0,1,5,7,15,4161,0,1,4,5609,0.0,8.5,3.2
0,1,6,0,5,4828,1,3,3,6275,0.0,5.5,2.53
1,0,0,2,8,3546,0,1,0,9,0.0,7.8,3.17
5,0,2,3,3,572,1,0,4,657,0.0,6.6,2.97
2,1,3,0,3,5975,1,0,1,5040,0.0,8.4,3.37
3,0,0,1,19,4392,1,2,0,4407,0.0,6.1,2.42
2,0,4,5,8,159,1,2,2,2366,0.0,8.0,3.16
0,1,7,7,2,550,0,1,1,2503,0.0,8.1,2.83
4,0,1,3,20,3579,1,1,2,6341,0.0,7.7,2.84
4,0,7,3,18,3915,0,2,0,1418,0.0,7.1,3.09
2,1,4,0,20,5581,1,3,0,5044,0.0,7.4,3.04
0,0,7,3,11,438,0,3,0,3521,0.0,8.7,3.26
5,0,1,2,14,5600,1,3,4,1598,0.0,4.9,2.33
5,0,6,2,5,3260,1,3,0,3045,0.0,6.8,2.7
5,0,4,7,0,4519,0,0,4,2689,0.0,6.0,2.04
4,0,7,5,13,6033,1,0,0,6551,0.0,6.8,2.55
2,1,5,6,6,2594,0,3,2,1659,1.0,6.2,2.11
4,0,2,4,0,6710,1,1,2,5386,0.0,6.6,2.29
1,0,7,3,2,5773,0,1,4,6142,0.0,6.0,2.16
2,0,1,1,8,6379,1,3,3,3495,0.0,8.0,2.98
5,1,4,0,20,2656,0,0,0,6073,0.0,6.9,2.72
4,0,5,5,3,2927,0,2,0,2508,0.0,7.3,2.78
5,1,5,4,9,4394,0,2,4,210,1.0,6.4,2.09
1,1,3,3,8,3813,0,0,0,4307,0.0,8.0,2.97
1,0,2,3,5,4590,0,2,4,290,0.0,7.2,2.93
4,0,1,2,15,5565,0,1,3,992,0.0,6.5,2.55
0,0,4,4,10,3884,1,0,3,517,0.0,5.8,3.15
3,0,5,0,18,5529,1,0,0,245,0.0,6.6,2.8
1,0,2,0,14,2811,1,2,2,2262,0.0,8.2,2.96
0,1,7,3,15,1879,1,2,1,5000,1.0,6.8,2.14
3,0,0,2,14,3431,1,3,0,3520,0.0,7.0,2.71
2,1,6,7,5,5162,1,3,3,182,0.0,8.6,3.27
0,1,1,0,0,593,1,1,2,459,1.0,6.8,2.28
4,0,6,7,10,4640,1,1,0,6168,1.0,5.4,2.11
2,0,3,3,13,5478,1,1,3,4576,0.0,7.5,2.67
1,0,1,5,8,5407,0,2,0,5295,0.0,6.1,2.22
2,1,3,6,12,6392,0,1,1,1830,0.0,7.6,2.82
5,0,2,7,0,2100,0,0,1,2597,0.0,6.5,2.42
3,0,3,4,7,5675,1,0,0,2700,1.0,6.0,2.21
0,1,4,2,10,4647,0,1,0,1583,0.0,5.9,2.47
2,1,3,0,15,1194,1,1,4,4557,0.0,9.0,3.05
4,1,1,2,16,1908,1,1,0,2980,0.0,6.6,3.0
3,1,7,2,13,3931,1,2,4,5254,0.0,6.9,3.01
2,0,7,5,0,4784,0,3,2,5735,0.0,6.1,2.22
3,0,2,7,10,2332,0,2,2,4894,0.0,7.0,3.28
0,0,3,6,13,411,0,0,0,6307,0.0,9.0,3.24
3,1,4,7,5,446,0,0,0,2357,0.0,5.8,2.64
2,1,1,0,16,6246,1,0,0,6109,0.0,7.6,2.62
4,0,6,2,14,4877,0,2,0,5015,0.0,7.7,2.92
4,1,3,7,0,1273,1,2,1,1301,0.0,8.9,3.38
5,0,4,4,5,114,1,2,2,5563,0.0,6.4,2.3
1,0,2,3,17,7328,0,1,4,2101,0.0,7.7,2.78
0,1,6,3,11,5873,0,0,2,5549,0.0,6.0,2.56
0,0,6,0,15,6035,1,0,2,3871,0.0,8.7,3.41
4,1,0,4,3,5919,1,3,0,1790,0.0,7.4,3.06
1,0,0,4,0,1214,0,3,3,701,1.0,6.6,2.07
2,1,3,2,2,6863,0,0,2,1339,0.0,8.2,3.15
0,1,1,1,3,5275,1,2,1,806,0.0,6.8,2.85
1,1,6,6,11,4913,0,0,2,3548,0.0,6.6,2.77
0,1,1,6,4,4254,1,3,2,4343,0.0,7.0,2.4
0,0,7,0,14,4862,1,0,3,4925,0.0,8.5,3.17
4,1,4,5,18,3058,1,3,2,5869,0.0,8.0,2.99
3,0,3,6,11,601,1,2,4,2650,0.0,7.2,2.94
4,1,1,7,20,2887,1,3,3,1806,0.0,7.3,3.13
1,1,1,2,7,1751,0,0,0,2684,0.0,6.9,2.74
3,1,7,4,5,5063,1,0,3,39,0.0,8.5,3.24
3,0,0,5,10,3577,1,2,3,5753,0.0,5.6,2.1
3,0,0,0,5,7314,1,0,3,3516,0.0,7.5,2.46
4,0,1,5,10,6143,1,1,3,2756,0.0,7.2,2.83
4,1,6,0,11,5539,1,0,3,5467,1.0,5.7,2.12
2,1,2,5,6,6635,0,1,0,3780,0.0,6.1,2.21
1,0,4,5,3,5478,1,2,3,5545,0.0,7.1,2.83
4,1,6,3,10,2471,1,0,0,5644,0.0,6.8,2.58
0,1,7,7,5,7385,0,2,1,6922,0.0,6.5,2.44
1,0,0,3,5,6110,0,1,0,2489,0.0,5.9,2.37
0,1,5,1,3,1269,1,3,0,5367,0.0,7.1,2.55
4,0,5,0,15,212,1,3,3,628,0.0,7.2,2.57
3,0,7,6,12,2118,0,3,0,4229,0.0,7.2,3.25
5,0,7,2,20,4128,1,2,3,505,0.0,8.3,2.63
3,0,5,2,6,4022,0,3,2,4625,1.0,6.6,2.19
2,0,4,3,19,2636,0,2,2,401,0.0,8.2,3.31
4,0,0,0,10,5127,1,1,0,955,0.0,6.0,2.38
1,1,6,4,20,453,0,1,0,3820,0.0,6.7,2.66
1,0,4,7,8,7449,1,2,4,4262,1.0,4.6,2.24
5,0,5,0,0,1646,0,1,3,5622,0.0,7.4,2.75
2,0,0,5,15,5553,0,3,4,1794,1.0,6.9,2.17
2,0,4,7,2,1022,0,1,3,5767,0.0,5.7,2.3
0,0,2,0,15,6572,1,3,0,6865,0.0,6.3,2.42
5,1,4,0,14,4162,1,3,2,1376,0.0,8.4,3.32
4,1,1,5,8,6035,1,2,4,282,1.0,5.6,2.22
5,1,6,1,7,7479,0,2,4,1193,0.0,5.9,2.25
0,1,4,5,6,5959,0,2,1,424,0.0,7.0,2.85
1,0,4,6,18,5830,1,0,0,725,0.0,6.4,2.76
5,0,6,4,5,7145,0,2,1,4856,0.0,7.7,2.82
5,0,4,3,19,1205,1,1,2,1916,0.0,7.4,3.01
1,1,7,6,13,3281,0,0,4,983,0.0,7.0,2.96
4,0,6,1,18,5021,0,1,3,598,0.0,7.5,3.14
4,0,0,3,9,1820,1,1,4,6565,0.0,6.5,2.91
4,0,7,7,9,240,0,1,4,2748,0.0,6.1,2.47
4,1,6,2,8,248,0,2,1,82,1.0,6.8,2.05
3,1,1,3,20,1634,0,1,4,1672,0.0,7.5,3.25
3,0,3,5,8,5942,1,0,4,2766,0.0,8.6,2.88
0,1,1,4,13,4853,0,0,0,1046,0.0,5.2,2.27
4,0,1,0,9,4234,1,0,2,707,0.0,6.9,2.51
1,0,2,3,8,381,0,0,4,3332,0.0,7.0,2.59
3,1,6,1,6,6894,1,1,0,2936,0.0,7.5,2.73
1,1,3,4,8,2800,1,0,1,2034,0.0,7.7,2.72
4,0,4,3,18,978,0,0,4,1380,0.0,7.4,2.64
3,0,1,6,7,3599,0,1,0,3396,0.0,8.8,3.33
4,1,7,7,14,5719,0,0,4,3173,0.0,6.7,2.13
5,1,7,0,5,1733,1,2,4,1239,0.0,7.4,3.37
5,0,7,6,1,2596,0,0,4,3772,0.0,7.5,2.81
5,1,1,0,13,971,0,3,1,6899,0.0,7.9,2.94
5,0,1,6,3,4795,0,3,3,1215,0.0,8.9,3.4
4,0,5,2,13,3382,0,2,4,3083,0.0,5.3,2.6
1,1,4,0,7,4443,1,1,4,4091,0.0,7.9,2.95
5,1,5,1,5,4409,0,1,0,4435,0.0,8.1,3.18
3,0,0,7,0,6670,0,1,4,2137,0.0,6.8,2.39
5,0,3,1,9,1325,1,2,4,1884,0.0,7.8,3.34
4,1,0,7,9,4808,0,1,4,2221,0.0,6.2,2.05
1,1,2,5,8,6819,1,1,3,3216,1.0,6.7,2.09
2,1,1,4,15,6004,1,1,3,1807,1.0,6.1,2.19
4,0,3,5,13,5052,0,3,3,5351,1.0,5.9,2.28
0,1,2,2,4,5714,1,3,2,6922,1.0,7.6,2.25
3,1,6,3,18,6160,1,2,1,3528,0.0,8.0,2.87
0,1,1,7,11,2955,0,3,1,1285,0.0,7.1,2.97
5,1,6,1,19,7236,1,0,2,3613,0.0,8.2,2.35
2,0,6,6,9,6332,0,0,1,1198,0.0,7.5,3.17
3,0,7,7,4,5010,1,3,2,1431,0.0,7.5,3.12
1,0,2,3,9,190,0,2,4,5403,0.0,7.7,3.36
2,1,0,7,9,4378,1,1,0,5749,0.0,6.7,2.83
2,1,3,5,10,2528,0,3,1,2985,0.0,8.1,3.36
2,0,1,6,4,2274,0,0,3,6012,0.0,6.5,2.79
3,0,2,1,9,1403,0,0,0,3243,0.0,8.4,3.33
3,1,2,7,0,4638,1,2,4,2905,0.0,8.5,3.23
3,1,6,0,3,3889,1,0,1,559,0.0,7.0,3.1
4,1,3,2,19,709,0,2,0,1989,0.0,6.4,2.6
0,0,4,3,0,4617,1,0,4,4033,0.0,7.2,2.95
3,1,0,2,18,7561,1,3,4,6441,0.0,6.9,2.84
5,1,3,3,10,3373,1,1,0,847,0.0,7.2,2.79
0,0,3,7,15,5662,1,1,4,178,0.0,7.6,2.92
0,1,4,7,5,4944,1,1,3,617,0.0,7.4,2.82
2,0,4,2,8,4748,0,2,2,1592,1.0,6.1,2.09
3,1,2,3,8,2083,1,1,1,6439,0.0,7.1,2.87
2,0,6,0,14,6404,1,2,3,700,0.0,6.7,2.87
5,0,4,4,13,3765,0,3,1,299,0.0,6.9,3.06
2,0,3,3,6,5969,0,2,0,4623,0.0,6.8,2.72
1,0,5,6,16,6789,0,2,1,1669,0.0,6.6,2.58
0,0,0,7,10,322,1,0,4,1377,0.0,7.4,2.45
0,0,7,7,20,3170,1,1,1,5288,0.0,7.8,3.4
5,1,2,5,10,4797,1,1,1,1619,0.0,7.5,2.89
5,1,7,5,12,1960,1,0,0,1344,0.0,7.8,2.87
0,1,3,0,4,3216,1,1,2,3176,0.0,7.2,2.44
2,1,0,7,4,280,1,1,2,3606,0.0,8.4,3.38
1,0,6,6,5,1784,0,0,2,3992,0.0,8.0,3.3
1,0,4,7,15,6338,1,2,4,1003,0.0,7.1,2.72
1,0,7,1,2,1755,1,2,4,1746,0.0,6.5,2.72
1,1,4,5,18,6989,0,3,3,5348,0.0,6.1,2.38
1,1,2,5,11,4951,1,1,3,5186,0.0,7.4,2.95
3,0,7,4,18,7194,1,0,2,3716,0.0,7.4,2.95
2,0,5,2,20,895,0,1,0,5067,0.0,7.1,2.55
0,0,1,1,10,3868,1,0,0,2396,0.0,7.5,2.71
5,0,7,1,13,19,1,2,4,120,0.0,8.2,3.24
5,0,0,6,3,800,0,0,0,2025,0.0,7.2,2.66
5,0,0,6,15,1204,0,2,4,1544,1.0,6.8,2.2
1,1,7,3,13,6475,0,0,3,3581,0.0,8.2,2.88
5,1,6,1,18,5207,1,2,0,3842,0.0,6.6,2.24
1,1,6,0,6,7569,0,1,2,4380,0.0,7.7,3.32
5,1,3,7,1,6722,1,3,3,5631,0.0,5.5,2.12
1,0,7,4,2,2000,1,2,1,4630,0.0,7.3,3.37
4,0,3,4,2,3293,0,2,3,4171,0.0,9.0,3.23
3,0,1,5,13,7015,1,1,2,1518,0.0,6.9,2.67
5,1,1,5,15,3639,0,1,4,467,1.0,6.4,2.23
1,1,0,4,3,7560,1,0,3,674,0.0,6.9,2.8
3,0,1,1,11,1200,1,2,0,1200,0.0,7.2,2.43
0,0,1,4,18,3713,0,0,2,1825,1.0,5.2,2.0
3,0,1,7,1,3209,0,2,0,5109,0.0,6.3,2.67
1,0,0,1,10,2313,0,3,4,4396,0.0,7.0,2.7
